,Stocks,Bonds,Gold
2016-01-22,809197184.0,3248301.0,196816.0
2016-01-23,809197184.0,3248301.0,196816.0
2016-01-24,809197184.0,3248301.0,196816.0
2016-01-25,760987392.0,2340840.0,271810.0
2016-01-26,699065728.0,2875257.0,302143.0
2016-01-27,804557952.0,1875377.0,309061.0
2016-01-28,822107520.0,1600270.0,215463.0
2016-01-29,1218446208.0,3929741.0,148798.0
2016-01-30,1218446208.0,3929741.0,148798.0
2016-01-31,1218446208.0,3929741.0,148798.0
2016-02-01,714460224.0,2433424.0,124443.0
2016-02-02,788526720.0,2756367.0,124766.0
2016-02-03,893829504.0,3493956.0,198077.0
2016-02-04,865640064.0,1272353.0,195849.0
2016-02-05,866389376.0,2546589.0,228384.0
2016-02-06,866389376.0,2546589.0,228384.0
2016-02-07,866389376.0,2546589.0,228384.0
2016-02-08,1012988672.0,2718494.0,267793.0
2016-02-09,847559936.0,2540503.0,205482.0
2016-02-10,766388864.0,2755544.0,175481.0
2016-02-11,959752000.0,2036673.0,175481.0
2016-02-12,803716032.0,1591114.0,196134.0
2016-02-13,803716032.0,1591114.0,196134.0
2016-02-14,803716032.0,1591114.0,196134.0
2016-02-15,,,202716.0
2016-02-16,841186816.0,1606380.0,361724.0
2016-02-17,818797824.0,2328592.0,184123.0
2016-02-18,729950592.0,1962967.0,200328.0
2016-02-19,862800576.0,2009701.0,193593.0
2016-02-20,862800576.0,2009701.0,193593.0
2016-02-21,862800576.0,2009701.0,193593.0
2016-02-22,663536128.0,1723014.0,166424.0
2016-02-23,626866688.0,2420866.0,200877.0
2016-02-24,662368192.0,2626751.0,291325.0
2016-02-25,590114752.0,2597694.0,224786.0
2016-02-26,669995968.0,1756968.0,228165.0
2016-02-27,669995968.0,1756968.0,228165.0
2016-02-28,669995968.0,1756968.0,228165.0
2016-02-29,849517056.0,1972136.0,202876.0
2016-03-01,742732288.0,2742088.0,242160.0
2016-03-02,680836864.0,2301447.0,204154.0
2016-03-03,667873920.0,2961713.0,258623.0
2016-03-04,782617216.0,1235871.0,392581.0
2016-03-05,782617216.0,1235871.0,392581.0
2016-03-06,782617216.0,1235871.0,392581.0
2016-03-07,654499200.0,1403272.0,259141.0
2016-03-08,699822912.0,1844637.0,230987.0
2016-03-09,608087616.0,2164461.0,266274.0
2016-03-10,665461440.0,1922791.0,339438.0
2016-03-11,641731328.0,1531504.0,272133.0
2016-03-12,641731328.0,1531504.0,272133.0
2016-03-13,641731328.0,1531504.0,272133.0
2016-03-14,546849792.0,1652026.0,251052.0
2016-03-15,529518144.0,2013842.0,211281.0
2016-03-16,617723072.0,1510644.0,232302.0
2016-03-17,661846528.0,1691639.0,238297.0
2016-03-18,1743233792.0,1313032.0,188814.0
